kunde_id,alder,maaneder_som_kunde,maanedspris_kr,ukentlig_bruk_timer,supporthenvendelser_6mnd,forsinkede_betalinger_12mnd,kontrakt,autotrekk,tilfredshet,churn
K0001,34,21,73.56,8.11,1,0,Maaned,Ja,5.46,0
K0002,40,35,91.6,12.62,1,0,Ett_aar,Ja,8.31,0
K0003,27,59,74.6,3.5,4,1,To_aar,Ja,4.99,1
K0004,18,13,87.01,9.01,2,2,Maaned,Nei,5.2,1
K0005,31,44,87.26,13.97,2,4,Ett_aar,Ja,4.81,0
K0006,,9,75.43,11.4,0,0,Maaned,Ja,,0
K0007,31,33,73.37,13.8,1,2,Ett_aar,Ja,8.25,0
K0008,45,69,59.36,12.32,2,1,Ett_aar,Ja,7.51,0
K0009,18,22,64.07,18.01,3,2,Ett_aar,Ja,6.23,1
K0010,29,28,91.95,13.67,0,1,Maaned,Ja,5.65,0
K0011,60,10,76.5,18.98,2,2,Maaned,Nei,6.71,0
K0012,27,16,79.28,7.3,2,2,Maaned,Nei,5.01,1
K0013,41,66,83.65,14.46,0,0,Ett_aar,Nei,5.63,0
K0014,65,71,78.02,11.99,2,1,Maaned,Ja,5.74,0
K0015,59,67,79.11,18.79,1,0,To_aar,Ja,,0
K0016,60,21,75.2,4.09,1,1,Maaned,Nei,8.86,0
K0017,42,37,84.39,10.82,0,2,Maaned,Nei,6.08,1
K0018,50,30,46.77,5.74,1,0,Maaned,Nei,5.21,0
K0019,,59,93.26,12.66,0,1,Maaned,Ja,8.03,0
K0020,18,50,99.49,9.56,3,2,Maaned,Nei,4.39,1
K0021,65,49,51.42,15.78,2,0,To_aar,Ja,7.12,0
K0022,59,5,64.2,15.46,0,0,Maaned,Nei,8.67,0
K0023,31,82,90.22,17.86,0,1,Maaned,Ja,6.44,0
K0024,41,1,93.39,11.06,2,2,Maaned,Nei,7.13,1
K0025,,83,61.81,8.53,1,0,To_aar,Ja,7.25,0
K0026,52,46,91.09,14.07,3,1,Ett_aar,Nei,5.7,1
K0027,24,23,68.23,8.04,1,0,Maaned,Nei,7.7,1
K0028,,12,63.54,1.5,1,0,Maaned,Nei,10.0,0
K0029,21,63,69.76,5.68,2,1,Maaned,Nei,5.56,0
K0030,38,57,93.09,9.76,0,2,Maaned,Ja,5.68,0
K0031,27,28,80.75,15.98,0,2,Maaned,Nei,6.85,1
K0032,35,14,72.93,5.23,1,0,Ett_aar,Ja,5.72,0
K0033,18,34,88.33,13.21,0,0,Maaned,Nei,7.15,0
K0034,42,94,72.19,11.27,0,2,Maaned,Ja,6.62,0
K0035,18,82,85.46,10.65,1,0,Maaned,Ja,6.19,0
K0036,56,48,77.9,9.15,1,0,To_aar,Nei,7.81,0
K0037,51,27,68.83,11.31,1,2,Ett_aar,Nei,5.45,0
K0038,49,14,79.92,7.62,2,0,Maaned,Ja,5.19,0
K0039,26,28,86.01,13.47,1,1,Ett_aar,Ja,9.04,0
K0040,39,42,91.02,11.78,2,0,Maaned,Nei,3.67,0
K0041,77,52,82.21,9.21,1,0,Maaned,Ja,7.56,1
K0042,26,85,72.28,13.91,4,0,Maaned,Ja,6.0,0
K0043,18,49,85.02,11.64,0,0,Ett_aar,Nei,7.9,0
K0044,46,38,67.0,10.72,0,0,Maaned,Ja,6.22,0
K0045,66,30,72.38,13.05,0,0,Ett_aar,Ja,7.27,0
K0046,29,32,88.2,10.77,2,1,Maaned,Ja,6.96,1
K0047,,96,,9.71,1,1,To_aar,Ja,8.02,0
K0048,30,55,65.15,22.06,1,2,Ett_aar,Nei,6.93,0
K0049,,101,93.78,22.58,1,0,Maaned,Ja,8.07,0
K0050,18,34,70.48,16.86,2,0,Ett_aar,Ja,4.86,0
K0051,36,13,82.98,11.45,1,1,Maaned,Nei,7.43,0
K0052,56,83,77.63,2.5,4,0,To_aar,Ja,5.28,0
K0053,45,30,78.61,13.04,1,0,Maaned,Ja,,0
K0054,40,79,75.23,12.89,2,0,Maaned,Nei,5.15,0
K0055,37,10,70.05,8.29,1,3,Maaned,Ja,6.6,0
K0056,43,14,85.11,15.59,2,0,Maaned,Nei,8.01,0
K0057,42,30,83.01,14.86,0,0,To_aar,Ja,9.44,0
K0058,40,120,62.49,11.19,1,0,Ett_aar,Ja,8.22,0
K0059,54,79,83.52,12.28,4,0,Ett_aar,Ja,5.6,1
K0060,48,51,62.7,3.28,2,0,Ett_aar,Nei,7.48,1
K0061,52,26,90.45,11.36,0,1,Maaned,Ja,5.01,0
K0062,65,23,90.65,8.47,4,1,Maaned,Ja,5.75,1
K0063,54,54,50.44,4.35,2,1,Ett_aar,Ja,5.17,0
K0064,25,45,77.74,15.66,1,0,Maaned,Ja,7.77,0
K0065,64,86,63.32,7.76,0,2,Ett_aar,Ja,6.32,0
K0066,55,47,86.73,14.47,1,0,Ett_aar,Nei,7.77,0
K0067,,24,69.73,16.63,1,0,Maaned,Ja,7.27,0
K0068,18,50,66.7,15.99,0,1,Ett_aar,Nei,8.29,0
K0069,48,35,73.23,13.65,2,0,Ett_aar,Nei,8.31,0
K0070,52,108,82.05,5.61,0,0,To_aar,Ja,6.36,0
K0071,23,28,62.3,3.07,1,0,To_aar,Ja,7.95,0
K0072,47,47,79.55,10.14,0,1,Maaned,Nei,7.37,0
K0073,34,73,94.11,15.68,2,2,Maaned,Nei,4.08,0
K0074,34,120,79.05,8.97,1,2,To_aar,Ja,,0
K0075,40,10,80.84,16.92,2,0,Maaned,Ja,7.85,0
K0076,45,13,51.88,11.71,3,1,Maaned,Nei,4.81,1
K0077,41,88,71.68,8.77,3,2,Ett_aar,Ja,6.01,0
K0078,36,38,69.12,8.38,1,1,Ett_aar,Ja,7.6,1
K0079,28,88,61.86,18.75,0,0,Ett_aar,Ja,7.34,0
K0080,18,48,60.13,12.2,0,3,To_aar,Ja,7.18,0
K0081,49,22,,7.04,2,0,Maaned,Nei,6.68,0
K0082,59,33,71.78,14.48,0,1,Ett_aar,Ja,5.04,0
K0083,30,28,80.36,15.26,0,2,Maaned,Nei,7.0,0
K0084,57,32,57.13,13.68,3,0,Maaned,Nei,3.64,1
K0085,33,64,67.05,9.9,1,0,Maaned,Nei,8.6,0
K0086,52,27,100.41,16.62,0,2,Maaned,Nei,6.05,1
K0087,47,37,57.0,18.64,1,2,Ett_aar,Nei,7.44,0
K0088,18,25,85.56,8.81,0,1,Maaned,Nei,6.92,0
K0089,65,47,78.63,8.1,2,0,Maaned,Ja,9.06,0
K0090,53,62,78.26,10.65,1,1,Maaned,Ja,6.79,0
K0091,44,38,76.54,8.02,1,1,Ett_aar,Ja,6.87,0
K0092,32,23,87.44,16.81,0,1,Maaned,Nei,8.49,0
K0093,51,33,69.54,10.14,1,0,To_aar,Ja,6.73,0
K0094,24,12,88.08,11.48,3,2,Maaned,Nei,,0
K0095,51,18,46.98,3.25,0,0,Maaned,Nei,7.01,0
K0096,18,24,96.86,8.35,1,0,Maaned,Nei,6.57,0
K0097,54,75,58.43,12.82,2,0,To_aar,Ja,4.59,0
K0098,32,54,76.65,7.9,2,2,Maaned,Ja,5.17,0
K0099,49,41,71.84,6.82,2,0,Ett_aar,Ja,6.64,0
K0100,61,47,85.79,15.91,2,2,Maaned,Nei,6.99,0
K0101,47,41,105.05,16.79,2,3,Maaned,Nei,5.27,1
K0102,30,120,83.71,14.27,2,1,Maaned,Nei,5.28,0
K0103,40,49,77.65,5.05,1,0,Ett_aar,Ja,5.75,0
K0104,39,22,59.53,9.63,0,0,Ett_aar,Ja,5.96,0
K0105,40,34,78.29,18.17,2,1,Ett_aar,Nei,,0
K0106,37,38,80.0,9.51,1,0,Ett_aar,Nei,10.0,0
K0107,35,8,76.12,19.13,0,2,Maaned,Ja,7.42,0
K0108,58,34,67.33,,2,1,Ett_aar,Nei,7.74,1
K0109,52,25,66.59,13.92,4,1,Maaned,Nei,5.07,0
K0110,40,33,65.86,12.82,3,1,Maaned,Nei,4.05,0
K0111,18,37,68.72,13.91,1,0,To_aar,Nei,8.19,0
K0112,70,21,98.06,7.96,3,1,Maaned,Ja,6.02,0
K0113,37,10,96.63,8.08,2,1,Maaned,Nei,3.79,1
K0114,18,8,81.02,12.64,1,1,Maaned,Ja,9.25,0
K0115,20,16,79.55,9.41,2,0,Ett_aar,Ja,4.42,1
K0116,27,46,78.44,19.73,1,0,To_aar,Ja,6.83,0
K0117,55,40,81.65,7.16,2,0,Maaned,Ja,7.12,0
K0118,74,40,71.43,9.26,1,2,Maaned,Ja,4.6,0
K0119,45,53,72.31,17.56,1,0,Maaned,Ja,7.75,0
K0120,52,26,72.45,1.35,1,5,Maaned,Nei,6.0,0
K0121,45,34,73.5,8.76,0,1,Maaned,Ja,7.43,0
K0122,49,47,72.77,20.38,1,0,To_aar,Nei,8.61,0
K0123,34,39,48.03,11.81,1,1,Ett_aar,Ja,5.97,0
K0124,56,45,65.4,3.67,3,1,Ett_aar,Ja,5.5,0
K0125,48,25,77.3,10.56,0,1,Ett_aar,Ja,7.72,0
K0126,69,11,94.4,7.85,2,1,Maaned,Ja,6.09,0
